Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR50_IPMCMC1-5-5,4.993974782204489e-2,4.8458784760757045e-2,5.157408912724598e-2,2.920651702533447e-3,2.1687583832312504e-3,3.9051260217753945e-3
MonadBayes_LR50_IPMCMC2-5-5,8.702585100076572e-2,8.2527032977254e-2,9.139728395103851e-2,7.2431087791739995e-3,5.599236168226512e-3,9.498964453066049e-3
MonadBayes_LR50_IPMCMC3-5-5,0.13279240108307117,0.12292286833422414,0.1455196863042478,1.6439268610658652e-2,1.0146707680803247e-2,2.4803974621690317e-2
MonadBayes_LR50_IPMCMC4-5-5,0.159303886038887,0.15506353775610685,0.16944718938170422,8.420916677434952e-3,2.6837661942080656e-3,1.1934539860998657e-2
MonadBayes_LR50_IPMCMC5-5-5,0.19873645791214808,0.196353796178165,0.20280074263112735,3.7003102369496817e-3,1.7771988052775927e-3,4.904025050512047e-3
MonadBayes_LR50_IPMCMC6-5-5,0.24486431898281835,0.23978518148620434,0.2494302090892925,5.553019115280083e-3,2.1619853466232747e-3,6.945875475154079e-3
MonadBayes_LR50_IPMCMC7-5-5,0.3084067251618098,0.2955130488762957,0.3283686310428688,1.884310916113774e-2,5.897903754447395e-4,2.3344918655657135e-2
MonadBayes_LR50_IPMCMC8-5-5,0.37781804180404804,0.3569256388221281,0.393357123248775,2.3681347359906235e-2,0.0,2.6914478565217906e-2
MonadBayes_LR50_IPMCMC9-5-5,0.428864006575975,0.41331842914279465,0.436588899784144,1.3463631720891567e-2,0.0,1.3545822427672242e-2
MonadBayes_LR50_IPMCMC10-5-5,0.5082766040242038,0.4867953491490093,0.5253697906740625,2.6632279477494858e-2,0.0,2.9606267740813354e-2
MonadBayes_HMM20_IPMCMC1-5-5,2.9139436867863314e-2,2.67600247047366e-2,3.283162214407839e-2,6.023322924823818e-3,3.8638051829902862e-3,7.55235972323979e-3
MonadBayes_HMM20_IPMCMC2-5-5,4.668886414068314e-2,4.5342869291510476e-2,4.9373750742124765e-2,3.4944881465719456e-3,1.6258621241084957e-3,5.553850595063654e-3
MonadBayes_HMM20_IPMCMC3-5-5,6.768026176938705e-2,6.616194325811392e-2,7.016894222246148e-2,3.2680263241573818e-3,1.9845149726475603e-3,4.657893010980665e-3
MonadBayes_HMM20_IPMCMC4-5-5,8.99333021929536e-2,8.845016318691522e-2,9.202009275766944e-2,2.9167440791585935e-3,1.7325739445957138e-3,3.867063842110764e-3
MonadBayes_HMM20_IPMCMC5-5-5,0.12828579704930435,0.11802861573675093,0.1466970221775585,2.0252349535393586e-2,1.0801605461361996e-2,2.8946591763368466e-2
MonadBayes_HMM20_IPMCMC6-5-5,0.14493683540351499,0.14197576233688158,0.15148162387346628,5.759020710067921e-3,1.7052438838001827e-3,8.890037857874072e-3
MonadBayes_HMM20_IPMCMC7-5-5,0.17621250063290894,0.17296674668194006,0.18008385914174793,4.410168892646645e-3,2.7754193577784747e-3,5.690736528484445e-3
MonadBayes_HMM20_IPMCMC8-5-5,0.20312139330056725,0.1990020763225141,0.20869058527487755,5.942300075245143e-3,2.970590588167478e-3,8.844358169666985e-3
MonadBayes_HMM20_IPMCMC9-5-5,0.25280215903754677,0.24138168654051337,0.2713761700863224,1.7812865263511994e-2,3.224967284796265e-3,2.3309356287888258e-2
MonadBayes_HMM20_IPMCMC10-5-5,0.2938860105014649,0.28230868170833623,0.3143508730599923,1.973246571024642e-2,2.1038002519135313e-4,2.3735977826784722e-2
MonadBayes_LDA10_IPMCMC1-5-5,6.060327676603579e-2,5.8459860238999135e-2,6.36922554824482e-2,4.580076394505418e-3,2.5197110816122035e-3,6.030400791052866e-3
MonadBayes_LDA10_IPMCMC2-5-5,0.1061960936672333,0.10367162595098905,0.10963382413211077,4.466338717598714e-3,3.0996524546686582e-3,6.131092395072601e-3
