Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR10_IPMCMC4-5-5,3.4720417998577356e-2,3.411054139016655e-2,3.625382918272997e-2,1.7809346642096188e-3,7.074188034228508e-4,3.077624890419803e-3
MonadBayes_LR20_IPMCMC4-5-5,6.447995456666279e-2,6.358140159742473e-2,6.649366492867137e-2,2.0594380205391314e-3,6.315739803839702e-4,2.7136041271150716e-3
MonadBayes_LR30_IPMCMC4-5-5,9.350371279675775e-2,9.215826467052687e-2,9.562214878061998e-2,2.561764414051233e-3,1.2823279080292204e-3,3.1734066445900516e-3
MonadBayes_LR40_IPMCMC4-5-5,0.12255536640631295,0.12146704817796147,0.1241216607003069,1.880744977780926e-3,1.0348802183505923e-3,2.9201675100102194e-3
MonadBayes_LR50_IPMCMC4-5-5,0.179122354031513,0.15449420734187516,0.21407537179730451,3.699500522064391e-2,2.6911462202360632e-2,4.420938037173696e-2
MonadBayes_LR60_IPMCMC4-5-5,0.183165616866458,0.17992667851991762,0.1873589498572763,4.84164807252185e-3,1.6567555185614613e-3,7.213442455281799e-3
MonadBayes_LR70_IPMCMC4-5-5,0.2139693645949056,0.20991755836056808,0.2177044601259403,4.98334109099632e-3,2.8116704103732333e-3,6.785307672909461e-3
MonadBayes_LR80_IPMCMC4-5-5,0.24016570724833328,0.23760747574824675,0.2442633494076514,3.927299517475927e-3,6.792138939032688e-4,5.123693931932562e-3
MonadBayes_LR90_IPMCMC4-5-5,0.2675399505716898,0.2645764633271287,0.2700950482383194,3.162431523584706e-3,1.5816232829923837e-3,4.0744440461532435e-3
MonadBayes_LR100_IPMCMC4-5-5,0.3060610241992034,0.2943472695358109,0.31777477886259586,1.4785095725090097e-2,6.939467774167735e-3,1.8863831962537672e-2
MonadBayes_HMM10_IPMCMC4-5-5,4.3204435862511055e-2,4.253975179738956e-2,4.425165213961378e-2,1.6024971486720751e-3,1.1959817874590364e-3,1.984307482436785e-3
MonadBayes_HMM20_IPMCMC4-5-5,9.096258256230774e-2,8.905711591156812e-2,9.37758353829022e-2,3.6080043609726547e-3,2.4371221556659163e-3,4.6023156644604156e-3
MonadBayes_HMM30_IPMCMC4-5-5,0.1425587613179036,0.1409089901179895,0.14396991328009903,2.162041121568579e-3,1.3429985206397873e-3,3.3964246604665837e-3
MonadBayes_HMM40_IPMCMC4-5-5,0.1984121483725852,0.19651896078561454,0.20137423624367545,2.798344087852785e-3,1.0884156924734238e-3,4.008935101682183e-3
MonadBayes_HMM50_IPMCMC4-5-5,0.3037489851714077,0.2635246690669185,0.37472341475056514,6.829720796773714e-2,5.213831707057692e-4,8.225523276017133e-2
MonadBayes_HMM60_IPMCMC4-5-5,0.3472831207318143,0.3386152088176666,0.3557493330416359,1.4492391307061425e-2,0.0,1.4663909868276143e-2
MonadBayes_HMM70_IPMCMC4-5-5,0.42167032778673535,0.41380512342441794,0.427049450082538,8.07637689340883e-3,0.0,9.316913116456712e-3
MonadBayes_HMM80_IPMCMC4-5-5,0.5110347270891499,0.5024507440840326,0.5159717109345711,7.681647562552472e-3,0.0,8.551106856416198e-3
MonadBayes_HMM90_IPMCMC4-5-5,0.6005820536236061,0.5915730948152693,0.607163195823636,9.984175450039611e-3,0.0,1.1398872662287571e-2
MonadBayes_HMM100_IPMCMC4-5-5,0.7024797898669016,0.6845465674181744,0.7140187149343892,1.7342189513276256e-2,0.0,1.998600448161838e-2
MonadBayes_LDA5_IPMCMC4-5-5,0.11860944409816551,0.11584313845540896,0.12368755895894339,5.3147971482528636e-3,2.185983940024101e-3,7.976631314803037e-3
MonadBayes_LDA10_IPMCMC4-5-5,0.19705220191375192,0.19530054320160048,0.19880386062590336,2.3753069073532244e-3,1.2395852794321346e-3,3.3529351522244033e-3
MonadBayes_LDA15_IPMCMC4-5-5,0.2841026081416711,0.2765906815434863,0.29397612047181076,1.081368343017401e-2,1.0367791606128822e-3,1.3728910180534864e-2
MonadBayes_LDA20_IPMCMC4-5-5,0.36311937700911545,0.3606479836249905,0.3654424689060385,3.901627087293998e-3,0.0,4.023713196122258e-3
MonadBayes_LDA25_IPMCMC4-5-5,0.4444019075161623,0.4409301566426125,0.44738172366457746,4.792315415608565e-3,0.0,5.161192966269253e-3
MonadBayes_LDA30_IPMCMC4-5-5,0.5243232602886055,0.5107086756267067,0.5337586285545058,1.4183748965482298e-2,0.0,1.6342537224662373e-2
MonadBayes_LDA35_IPMCMC4-5-5,0.6064031979548009,0.5900940104193951,0.6175042495257954,1.6662134341913666e-2,0.0,1.9227585338404782e-2
MonadBayes_LDA40_IPMCMC4-5-5,0.6832497039050188,0.6660618871334423,0.694037906133541,1.627575230962628e-2,0.0,1.8685714382128186e-2
MonadBayes_LDA45_IPMCMC4-5-5,0.7674222701493005,0.7606037347538983,0.7724116342748899,7.572295635841998e-3,0.0,8.641832162982251e-3
MonadBayes_LDA50_IPMCMC4-5-5,0.8505130778461631,0.8272418518143447,0.8657736409371782,2.2900323975679385e-2,0.0,2.6432070625748424e-2
Anglican_LR10_IPMCMC4-5-5,7.124460313090862e-2,6.798633929169326e-2,7.432813307387184e-2,5.448190797688856e-3,4.308275689631219e-3,7.239006708526878e-3
Anglican_LR20_IPMCMC4-5-5,7.638795960678109e-2,7.236615588819889e-2,7.911960379111385e-2,5.867386025864371e-3,4.340700134896556e-3,8.141322008431836e-3
Anglican_LR30_IPMCMC4-5-5,7.515402538442276e-2,6.991491863642145e-2,7.846507262593536e-2,6.7978150282719425e-3,3.6059938944036935e-3,9.289805166853633e-3
